省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
財務省,理財局,一般会計,普通財産,国立大学法人　小樽商科大学,東京都千代田区霞が関３−１−１,-,3984081743,-,-,-,-,-,-,-,-,-,-,3984081743,-
財務省,理財局,一般会計,普通財産,国立大学法人　帯広畜産大学,東京都千代田区霞が関３−１−１,-,8544843018,-,-,-,-,-,-,-,-,-,-,8544843018,-
財務省,理財局,一般会計,普通財産,国立大学法人　旭川医科大学,東京都千代田区霞が関３−１−１,-,4153162138,-,-,-,-,-,-,-,-,-,-,4153162138,-
財務省,理財局,一般会計,普通財産,国立大学法人　北見工業大学,東京都千代田区霞が関３−１−１,-,6773239241,-,-,-,-,-,-,-,-,-,-,6773239241,-
財務省,理財局,一般会計,普通財産,国立大学法人　弘前大学,東京都千代田区霞が関３−１−１,-,43903885424,-,-,-,-,-,-,-,-,-,-,43903885424,-
財務省,理財局,一般会計,普通財産,国立大学法人　岩手大学,東京都千代田区霞が関３−１−１,-,52314364960,-,-,-,-,-,-,-,-,-,-,52314364960,-
財務省,理財局,一般会計,普通財産,国立大学法人　東北大学,東京都千代田区霞が関３−１−１,-,250559943501,-,-,-,-,-,-,-,-,-,-,250559943501,-
財務省,理財局,一般会計,普通財産,国立大学法人　宮城教育大学,東京都千代田区霞が関３−１−１,-,22243453590,-,-,-,-,-,-,-,-,-,-,22243453590,-
財務省,理財局,一般会計,普通財産,国立大学法人　秋田大学,東京都千代田区霞が関３−１−１,-,22877458838,-,-,-,-,-,-,-,-,-,-,22877458838,-
財務省,理財局,一般会計,普通財産,国立大学法人　山形大学,東京都千代田区霞が関３−１−１,-,70898865612,-,-,-,-,-,-,-,-,-,-,70898865612,-
財務省,理財局,一般会計,普通財産,国立大学法人　福島大学,東京都千代田区霞が関３−１−１,-,27432082284,-,-,-,-,-,-,-,-,-,-,27432082284,-
財務省,理財局,一般会計,普通財産,国立大学法人　茨城大学,東京都千代田区霞が関３−１−１,-,38818151461,-,-,-,-,-,-,-,-,-,-,38818151461,-
財務省,理財局,一般会計,普通財産,国立大学法人　筑波大学,東京都千代田区霞が関３−１−１,-,299369437564,-,-,-,-,-,-,-,-,-,-,299369437564,-
財務省,理財局,一般会計,普通財産,国立大学法人　宇都宮大学,東京都千代田区霞が関３−１−１,-,72559893877,-,-,-,-,-,-,-,-,-,-,72559893877,-
財務省,理財局,一般会計,普通財産,国立大学法人　群馬大学,東京都千代田区霞が関３−１−１,-,47718869710,-,-,-,-,-,-,-,-,-,-,47718869710,-
財務省,理財局,一般会計,普通財産,国立大学法人　埼玉大学,東京都千代田区霞が関３−１−１,-,66370138604,-,-,-,-,-,-,-,-,-,-,66370138604,-
財務省,理財局,一般会計,普通財産,国立大学法人　千葉大学,東京都千代田区霞が関３−１−１,-,167256301632,-,-,-,-,-,-,-,-,-,-,167256301632,-
財務省,理財局,一般会計,普通財産,国立大学法人　東京大学,東京都千代田区霞が関３−１−１,-,1124353208558,-,-,-,-,-,-,-,-,-,-,1124353208558,-
財務省,理財局,一般会計,普通財産,国立大学法人　東京医科歯科大学,東京都千代田区霞が関３−１−１,-,120079500037,-,-,-,-,-,-,-,-,-,-,120079500037,-
財務省,理財局,一般会計,普通財産,国立大学法人　東京外国語大学,東京都千代田区霞が関３−１−１,-,36707904332,-,-,-,-,-,-,-,-,-,-,36707904332,-
財務省,理財局,一般会計,普通財産,国立大学法人　東京学芸大学,東京都千代田区霞が関３−１−１,-,161108130084,-,-,-,-,-,-,-,-,-,-,161108130084,-
財務省,理財局,一般会計,普通財産,国立大学法人　東京農工大学,東京都千代田区霞が関３−１−１,-,90463440307,-,-,-,-,-,-,-,-,-,-,90463440307,-
財務省,理財局,一般会計,普通財産,国立大学法人　東京芸術大学,東京都千代田区霞が関３−１−１,-,61293898868,-,-,-,-,-,-,-,-,-,-,61293898868,-
財務省,理財局,一般会計,普通財産,国立大学法人　東京工業大学,東京都千代田区霞が関３−１−１,-,186296081715,-,-,-,-,-,-,-,-,-,-,186296081715,-
財務省,理財局,一般会計,普通財産,国立大学法人　東京海洋大学,東京都千代田区霞が関３−１−１,-,102313663226,-,-,-,-,-,-,-,-,-,-,102313663226,-
財務省,理財局,一般会計,普通財産,国立大学法人　お茶の水女子大学,東京都千代田区霞が関３−１−１,-,81604581664,-,-,-,-,-,-,-,-,-,-,81604581664,-
財務省,理財局,一般会計,普通財産,国立大学法人　電気通信大学,東京都千代田区霞が関３−１−１,-,36071922241,-,-,-,-,-,-,-,-,-,-,36071922241,-
財務省,理財局,一般会計,普通財産,国立大学法人　一橋大学,東京都千代田区霞が関３−１−１,-,152930785456,-,-,-,-,-,-,-,-,-,-,152930785456,-
財務省,理財局,一般会計,普通財産,国立大学法人　横浜国立大学,東京都千代田区霞が関３−１−１,-,92858193201,-,-,-,-,-,-,-,-,-,-,92858193201,-
財務省,理財局,一般会計,普通財産,国立大学法人　新潟大学,東京都千代田区霞が関３−１−１,-,74483346001,-,-,-,-,-,-,-,-,-,-,74483346001,-
財務省,理財局,一般会計,普通財産,国立大学法人　長岡技術科学大学,東京都千代田区霞が関３−１−１,-,14442562825,-,-,-,-,-,-,-,-,-,-,14442562825,-
財務省,理財局,一般会計,普通財産,国立大学法人　上越教育大学,東京都千代田区霞が関３−１−１,-,11620632911,-,-,-,-,-,-,-,-,-,-,11620632911,-
財務省,理財局,一般会計,普通財産,国立大学法人　金沢大学,東京都千代田区霞が関３−１−１,-,82492664187,-,-,-,-,-,-,-,-,-,-,82492664187,-
財務省,理財局,一般会計,普通財産,国立大学法人　福井大学,東京都千代田区霞が関３−１−１,-,59773938621,-,-,-,-,-,-,-,-,-,-,59773938621,-
財務省,理財局,一般会計,普通財産,国立大学法人　山梨大学,東京都千代田区霞が関３−１−１,-,43945344871,-,-,-,-,-,-,-,-,-,-,43945344871,-
財務省,理財局,一般会計,普通財産,国立大学法人　信州大学,東京都千代田区霞が関３−１−１,-,62471382661,-,-,-,-,-,-,-,-,-,-,62471382661,-
財務省,理財局,一般会計,普通財産,国立大学法人　岐阜大学,東京都千代田区霞が関３−１−１,-,61345385741,-,-,-,-,-,-,-,-,-,-,61345385741,-
財務省,理財局,一般会計,普通財産,国立大学法人　静岡大学,東京都千代田区霞が関３−１−１,-,52624080234,-,-,-,-,-,-,-,-,-,-,52624080234,-
財務省,理財局,一般会計,普通財産,国立大学法人　浜松医科大学,東京都千代田区霞が関３−１−１,-,15277690312,-,-,-,-,-,-,-,-,-,-,15277690312,-
財務省,理財局,一般会計,普通財産,国立大学法人　名古屋大学,東京都千代田区霞が関３−１−１,-,132158756368,-,-,-,-,-,-,-,-,-,-,132158756368,-
財務省,理財局,一般会計,普通財産,国立大学法人　愛知教育大学,東京都千代田区霞が関３−１−１,-,43162925433,-,-,-,-,-,-,-,-,-,-,43162925433,-
財務省,理財局,一般会計,普通財産,国立大学法人　名古屋工業大学,東京都千代田区霞が関３−１−１,-,28493072939,-,-,-,-,-,-,-,-,-,-,28493072939,-
財務省,理財局,一般会計,普通財産,国立大学法人　豊橋技術科学大学,東京都千代田区霞が関３−１−１,-,17175417034,-,-,-,-,-,-,-,-,-,-,17175417034,-
財務省,理財局,一般会計,普通財産,国立大学法人　三重大学,東京都千代田区霞が関３−１−１,-,31620885718,-,-,-,-,-,-,-,-,-,-,31620885718,-
財務省,理財局,一般会計,普通財産,国立大学法人　滋賀大学,東京都千代田区霞が関３−１−１,-,18108931729,-,-,-,-,-,-,-,-,-,-,18108931729,-
財務省,理財局,一般会計,普通財産,国立大学法人　滋賀医科大学,東京都千代田区霞が関３−１−１,-,18594617642,-,-,-,-,-,-,-,-,-,-,18594617642,-
財務省,理財局,一般会計,普通財産,国立大学法人　京都大学,東京都千代田区霞が関３−１−１,-,333686875508,-,-,-,-,-,-,-,-,-,-,333686875508,-
財務省,理財局,一般会計,普通財産,国立大学法人　京都教育大学,東京都千代田区霞が関３−１−１,-,34985321536,-,-,-,-,-,-,-,-,-,-,34985321536,-
