省庁名,部局名,部局所名,会計名,分類種類名,根拠法令,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,東町５丁目公園（街区）,北海道室蘭市東町５丁目２２のうち,室蘭市,"14,152,152","1,359.02","14,152,152",0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第１項,水道管布設敷地,北海道室蘭市港北町５丁目８６−１さき,室蘭市,"10,069",655.02,"10,069",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,室蘭岳山麓総合公園敷地（総合）,北海道室蘭市神代町１４３番５外３筆,室蘭市,"4,471","6,967.37","4,471",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第１項,水道管路用地,北海道室蘭市天神町３０７番、３０８番,室蘭市,"11,036","2,188.27","11,036",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第１項,水道管路用地,北海道室蘭市高平町１３−１先,室蘭市,"2,139",817.5,"2,139",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,ふるさとの森公園敷地,北海道室蘭市母恋南町３丁目７６番１、７６番３,室蘭市,"23,404","3,091.39","23,404",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,紅葉山児童遊園敷地,北海道夕張市紅葉山５５１番外,夕張市,"8,557,969","2,517.69","8,557,969",0,0,0,0,0,0,非線引,第二種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第２項第７号,清水沢小学校敷地,北海道夕張市清水沢清陵町１９９−１,夕張市,"290,537",870.6,"290,537",0,0,0,0,0,0,非線引,第二種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,警察法 附則第１２項,夕張警察署庁舎敷地,北海道夕張市旭町４番６,北海道,"12,246",196.83,"12,246",0,0,0,0,0,0,非線引,商業地域,80,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,美園ひなぎく公園（街区）,北海道岩見沢市美園２条８丁目４４番,岩見沢市,"2,454,154",363.16,"2,454,154",0,0,0,0,0,0,非線引,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,利根別自然公園敷地（総合）,北海道岩見沢市緑ケ丘２４３先外,岩見沢市,"457,450","141,331.80","274,868",0,0,0,"182,582",0,0,非線引,第一種住居地域,30,50
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,すずかけ公園敷地（街区）,北海道岩見沢市鳩ケ丘４丁目１７０−１,岩見沢市,"7,378,115",659.86,"7,378,115",0,0,0,0,0,0,非線引,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,用水路敷地,北海道岩見沢市西川町１３４３番２,北海土地改良区,"55,703","4,766.27","55,703",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,しらゆり公園敷地（街区）,北海道岩見沢市上幌向南１条４丁目１２７０,岩見沢市,"18,275,663","2,152.21","18,275,663",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,ひまわり公園敷地（街区）,北海道岩見沢市上幌向南２条５丁目１２８０番１,岩見沢市,"4,711,513",745.09,"4,711,513",0,0,0,0,0,0,非線引,第一種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,ため池敷地,北海道岩見沢市宝水町５３５先,北海土地改良区,"117,144","32,975.50","117,144",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,７条東あおい公園敷地（街区）,北海道岩見沢市７条東３丁目３−１,岩見沢市,"10,065,294",807.82,"10,065,294",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,0,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,用排水路敷地,北海道岩見沢市西川町１７５番４地先,北海土地改良区,"4,563","1,275.39","4,563",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,緑が丘あやめ公園敷地（近隣）,北海道岩見沢緑ヶ丘３丁目１８６番１地先,岩見沢市,"326,241","1,893.80","326,241",0,0,0,0,0,0,非線引,第一種低層住居専用地域,40,60
