省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,不動産の信託受益権価格　（円）,地上権等数量,地上権等価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都武蔵野市境南町５−１４６９−１２,"191,300,828",668.02,"178,656,102",138.2,414.6,"11,759,724","415,454","469,548",0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都武蔵村山市学園２−３６−１,"1,843,340,882","24,678.20","1,628,761,200","3,292.90","15,014.20","187,488,967","2,643,011","24,447,704",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都昭島市東町２−１１９−２７,"182,438,026","1,162.43","176,345,280",311.13,459.13,"5,909,865",0,"182,881",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,病院敷地,東京都立川市錦町４−１２−６外３筆のうち,"1,244,461,200","7,826.80","1,244,461,200",0,0,0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都昭島市中神町字東新畑１２５７番２２,"800,101,920","7,995.20","743,553,600","1,319.33","4,675.01","52,153,119","7,622","4,387,579",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都東村山市萩山町３−２９−３４,"761,616,593","5,660.56","729,284,977",427.25,"1,626.05","12,951,435","14,271,496","5,108,685",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都東村山市富士見町１丁目２番４６,"1,091,985,865","10,947.46","985,271,400","1,904.18","5,617.56","99,355,745","1,782,286","5,576,434",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都三鷹市新川６丁目６４１番１,"2,054,017,338","13,452.01","1,977,445,470","2,009.64","5,942.56","66,161,240","1,686,558","8,724,070",0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都国分寺市西町１−３２−１外６筆 ,"927,169,206","7,609.28","844,630,081","1,598.40","6,564.80","81,186,048","776,228","576,849",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都三鷹市井口１−１２４−１,"673,688,154","2,742.42","634,812,639",753.24,"2,045.12","34,633,374","3,478,848","763,293",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
