省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,河川及び水路敷,京都府舞鶴市大波，朝来，吉野２０９−６ほか,京都府,"3,451,996","10,646.61","3,451,996",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,宿舎,京都府舞鶴市字泉源寺小字知中　１６１−９４　外１筆,近畿中部防衛局,"29,927,981","2,709.00","29,927,981",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,宿舎,京都府舞鶴市字泉源寺,近畿中部防衛局,"46,309,489","4,191.81","46,309,489",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,近畿財務局,京都財務事務所舞鶴出張所,一般会計,普通財産,宿舎,京都府舞鶴市,近畿中部防衛局,"26,434,603","1,304.48","26,434,603",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,近畿財務局,神戸財務事務所,一般会計,普通財産,宿舎,兵庫県姫路市,近畿中部防衛局,"91,659,499","3,117.67","91,659,498",0,0,0,0,1,0,市街化区域,第一種低層住居専用地域,50,100
財務省,近畿財務局,神戸財務事務所,一般会計,普通財産,宿舎,兵庫県小野市桜台１０番２,近畿中部防衛局,"13,477,672","11,022.18","13,474,296",0,0,0,"2,206","1,170",0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,近畿財務局,神戸財務事務所,一般会計,普通財産,宿舎,兵庫県宝塚市山本野里３丁目,近畿中部防衛局,"251,603,426","10,326.07","251,603,426",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県呉市,中国四国防衛局,"92,477,412","1,915.36","92,477,411",0,0,0,0,1,0,市街化区域,第一種住居地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県呉市,中国四国防衛局,"65,252,188",931.11,"65,252,188",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県呉市,中国四国防衛局,"135,761,959","3,373.89","135,761,959",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県江田島市江田島町鷲部２丁目３０９−６８,中国四国防衛局,"119,636,641","5,654.44","119,636,641",0,0,0,0,0,0,非線引,第一種住居地域,60,200
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県江田島市,中国四国防衛局,"53,476,379","1,230.87","53,476,378",0,0,0,0,1,0,非線引,都市計画用途地域指定なし,70,400
財務省,中国財務局,本局呉出張所,一般会計,普通財産,宿舎,広島県江田島市,中国四国防衛局,"63,130,948","1,453.09","63,130,948",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
財務省,中国財務局,山口財務事務所,一般会計,普通財産,宿舎,山口県山陽小野田市,中国四国防衛局,"33,827,235","2,920.31","33,827,235",0,0,0,0,0,0,都市計画区域外,第一種住居地域,60,200
財務省,中国財務局,山口財務事務所,一般会計,普通財産,宿舎,山口県山陽小野田市,中国四国防衛局,"38,677,118","3,339.00","38,677,118",0,0,0,0,0,0,都市計画区域外,第一種住居地域,60,200
財務省,中国財務局,山口財務事務所下関出張所,一般会計,普通財産,下関港海岸保全施設整備事業に係る護岸工事作業ヤード,山口県下関市前田一丁目１１３番１,九州地方整備局,"136,037,911","5,913.16","135,386,230",0,0,0,0,"651,681",0,市街化区域,第一種住居地域,60,200
財務省,中国財務局,松江財務事務所,一般会計,普通財産,真砂土・砕石置場,島根県出雲市斐川町出西４０２０番７,中国四国農政局,"60,185,968","5,850.00","60,185,968",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,200
財務省,中国財務局,松江財務事務所,一般会計,普通財産,駐車場,島根県浜田市殿町７９番４７,広島国税局,"9,734,223",217.6,"9,635,956",0,0,0,0,"98,267",0,非線引,第二種住居地域,60,200
財務省,九州財務局,本局,一般会計,普通財産,宿舎,熊本県熊本市北区八景水谷二丁目,熊本防衛支局,"131,414,448","4,977.82","131,414,448",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,九州財務局,本局,一般会計,普通財産,宿舎,熊本県熊本市東区東町３丁目３−１,熊本防衛支局,"592,782,680","12,424.62","592,782,680",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,九州財務局,本局,一般会計,普通財産,庁舎,熊本県熊本市中央区千葉城町３−３６,熊本国税局,"363,832,042","5,775.11","363,831,930",953.55,"1,648.40",8,1,103,0,市街化区域,第二種住居地域,60,200
財務省,福岡財務支局,本局,一般会計,普通財産,福岡空港回転翼機能移設事業に係る環境影響調査,福岡県福岡市東区大字奈多字小瀬抜１３０２番４７,大阪航空局,"2,391,393",110,"2,391,393",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,40,50
財務省,福岡財務支局,本局,一般会計,普通財産,駐車場敷地,福岡県久留米市諏訪野町字上土橋２４０１番１３,福岡労働局,"38,700,906",530.43,"38,700,172",0,0,0,733,1,0,市街化区域,第一種住居地域,60,200
財務省,福岡財務支局,本局小倉出張所,一般会計,普通財産,宿舎,福岡県遠賀郡芦屋町大字芦屋字芦屋浜　１４５５番２７３外１筆,九州防衛局,"93,474,528","6,938.43","93,474,528",0,0,0,0,0,0,非線引,第一種中高層住居専用地域,60,200
財務省,福岡財務支局,本局小倉出張所,一般会計,普通財産,宿舎,福岡県築上郡築上町,九州防衛局,"69,871,572","4,071.77","69,871,572",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,福岡財務支局,長崎財務事務所,一般会計,普通財産,国土交通省雲仙復興事務所庁舎敷地,長崎県島原市南下川尻町７番４外２筆,九州地方整備局,"171,645,019","5,394.08","171,645,019",0,0,0,0,0,0,市街化区域,商業地域,80,400
財務省,福岡財務支局,長崎財務事務所,一般会計,普通財産,臨時駐車場,長崎県諫早市永昌東町２１７番１,福岡国税局,"30,000,824",812.37,"30,000,824",0,0,0,0,0,0,市街化区域,第二種住居地域,60,300
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,FAC5029佐世保海軍施設,長崎県佐世保市ＦＡＣ５０２９内,九州防衛局,"81,243,358","10,701.18","81,243,358",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,キャンプ瑞慶覧西普天間住宅地区跡地支障除去作業の立入,沖縄県宜野湾市字喜友名山川原１０６６外１,沖縄防衛局,"322,248,711","16,729.00","322,248,711",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,陸域動植物及び海域生物調査立入,沖縄県名護市字辺野古長崎原,沖縄防衛局,"1,519,493","3,145.95","1,519,493",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,400
