省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,船舶数量,船舶価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０３３佐世保弾薬補給所,長崎県佐世保市前畑町,"1,863,426,969","582,098.08","1,858,075,669","15,639.68","15,920.90",29,"301,370","5,049,901",0,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０５０針尾島弾薬集積所,長崎県佐世保市針尾北町,"104,247,969","1,253,294.32","66,648,375","2,672.35","2,672.35","8,116,449",0,"29,483,145",0,0,0,市街化調整区域,都市計画用途地域指定なし,70,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５１１９針尾住宅地区,長崎県佐世保市江上町ほか,"9,500,060,509","299,559.80","3,455,072,797","40,051.64","110,490.40","5,180,308,271","34,171,688","830,507,753",0,0,0,市街化区域,第一種住居地域,60,200
財務省,福岡財務支局,長崎財務事務所（壱岐・対馬分）,一般会計,普通財産,ＦＡＣ５０９１対馬通信所,長崎県対馬市美津島町,"6,052,096","1,130.87","5,812,671",0,0,0,0,"239,425",0,0,0,都市計画区域外,都市計画用途地域指定なし,,
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０６４那覇港湾施設,沖縄県那覇市垣花町ほか,"10,013,202,895","177,224.83","10,013,202,895",0,0,0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０７６陸軍貯油施設,沖縄県うるま市天願ほか,"782,980,607","62,789.17","782,980,607",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０２９キャンプ・コートニー,沖縄県うるま市字天願,"100,858,600","9,515.86","100,858,600",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０２８天願桟橋,沖縄県うるま市字昆布昆布先原ほか,"67,709,880","6,984.00","67,709,880",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０３１キャンプ・マクトリアス,沖縄県うるま市字川崎仲原ほか,"212,283,900","19,535.59","212,283,900",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０５１普天間飛行場,沖縄県宜野湾市字佐真下赤田地原ほか,"2,846,677,092","161,340.98","2,846,677,092",0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,50,100
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０４４キャンプ瑞慶覧,沖縄県宜野湾市字安仁屋安仁屋原ほか,"2,531,500,427","134,048.87","2,531,500,427",0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６０５６牧港補給地区,沖縄県浦添市字城間ほか,"11,060,623,338","185,465.54","11,060,623,338",0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,60,200
財務省,沖縄総合事務局,財務部,一般会計,普通財産,ＦＡＣ６００９キャンプ・シュワブ,沖縄県名護市字辺野古ほか,"102,076,926","56,521.00","102,076,926",0,0,0,0,0,0,0,0,非線引,都市計画用途地域指定なし,60,200
