省庁名,部局名,部局所名,会計名,分類種類,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,都市計画区域,用途地域,建ぺい率,容積率,処理方法
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市真栄２丁目２２番７、同番５９,"2,073,283",318.95,"2,073,283",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市石山町５０番１３,"1,659,858",262.04,"1,659,858",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市石山町６７番３、同番１３,"1,359,774",397.53,"1,359,774",市街化区域,第二種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市稲穂５丁目３５番１２,"3,805,560",172.98,"3,805,560",市街化区域,近隣商業地域,80,300,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市稲穂５丁目４９番１１,"26,204,509","2,975.37","26,204,509",市街化区域,第一種中高層住居専用地域,60,200,地方公共団体等へ売払
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市緑１丁目１番２８、同番１５５,"1,150,995",266.24,"1,150,995",市街化区域,第二種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市緑１丁目１１番３１、同番８８,"500,420",76.39,"500,420",市街化区域,近隣商業地域,80,200,当分の間入札実施が困難
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市若竹町１２７番２、同番４、同番１７、同番２１、同番２３、同番２６、１６６番１４、同番１５、同番１６,"18,139,401","2,337.07","18,139,401",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市若竹町５番８、同番１０、同番１１,"7,186,648","1,392.21","7,186,648",市街化区域,第一種中高層住居専用地域,60,200,当分の間入札実施が困難
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市赤岩１丁目１３９番１３、同番１８、１５１番１,"6,808,477",793.55,"6,808,477",市街化区域,第一種低層住居専用地域,60,100,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市長橋２丁目３９番１,"82,068,861","17,436.25","82,068,861",市街化区域,第一種中高層住居専用地域,60,200,当分の間入札実施が困難
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市長橋２丁目４９番４２,"4,521,172",466.94,"4,521,172",市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市長橋４丁目２５番５２,"137,354",15.19,"137,354",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市長橋４丁目２５番６、同番４２,"18,839,693","2,083.47","18,839,693",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市大町２条１２丁目６６番３外１０筆,"70,475,248","5,932.26","70,475,248",市街化区域,第二種中高層住居専用地域,60,200,地方公共団体等へ売払
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市忠和８条３丁目６６番９０６、同番９０８,"2,933,783",276.42,"2,933,783",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市春光台２条４丁目１１番５,"3,171,345",378.21,"3,171,345",市街化区域,第一種低層住居専用地域,40,60,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市春光４条３丁目２４２番８２,"92,473,800","6,701.00","92,473,800",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市春光５条４丁目２３２番１６,"24,505,655","1,399.43","24,505,655",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市東鷹栖５線１４号２４９９番１,"25,707,227","55,250.19","25,707,227",市街化調整区域,都市計画用途地域指定なし,60,200,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市東６条８丁目２番３、３番４,"2,503,626",254.53,"2,503,626",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市花咲町３丁目４０６７番６、同番８,"94,538,786","9,362.13","94,538,786",市街化区域,第二種住居地域,60,200,当分の間入札実施が困難
財務省,北海道財務局,旭川財務事務所,一般会計,普通財産,北海道旭川市６条西２丁目１４８５番２６７,"13,166,088",473.43,"13,166,088",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市みゆき町１丁目２４２番２,"28,446,471","3,578.39","28,446,471",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市みゆき町２丁目２４５番８５,"1,212,143",165.93,"1,212,143",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市八丁平５丁目４６番１　外３筆,"30,682,769","4,743.78","30,682,769",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市八丁平５丁目５２番１,"23,490,223","3,631.76","23,490,223",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市山手町２丁目９６番７、同番６１、９９番７,"28,537,026","4,340.47","28,537,026",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市幌萌町４５３番３,"1,068,655",229.38,"1,068,655",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市東町５丁目２４番４,"24,899,518","2,172.74","24,899,518",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市東町５丁目２５番３、同番２１,"18,903,122","1,711.97","18,903,122",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市東町５丁目５番１　外１筆,"11,869,322",728.85,"11,869,322",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市母恋南町３丁目４９番４９、同番５０、同番５５、同番５６、同番５７、同番５８,"10,681,872","3,669.99","10,681,872",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,本局,一般会計,普通財産,北海道室蘭市母恋南町３丁目５０番１８、同番２４、同番２５、同番２８,"12,092,360","3,186.67","12,092,360",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
